46500, Mia, Martin, 3.078468, 2001 9 12
84847, Mia, Thompson, 3.569239, 2000 2 16
63354, Ethan, Taylor, 2.193862, 2003 8 11
66498, Amelia, Lewis, 2.822205, 2001 12 17
17100, Olivia, Johnson, 2.805243, 2006 1 17
54473, Olivia, Thompson, 2.38318, 2004 10 8
80292, Henry, Anderson, 2.843763, 2004 12 16
46509, Henry, Thompson, 3.748972, 2002 12 14
19880, Henry, Taylor, 2.101177, 2006 2 8
80855, Liam, Brown, 3.852734, 2001 9 25
40982, Sophia, Lewis, 2.971282, 2003 10 29
38016, Logan, Johnson, 2.329274, 2005 3 18
10282, Logan, Garcia, 3.853036, 2000 7 16
69638, Charlotte, Lewis, 3.393183, 2004 4 1
82845, Mia, Anderson, 2.379796, 2007 1 1
38534, Emma, Johnson, 3.495951, 2005 3 20
17492, Emma, Hall, 3.005701, 2002 3 27
79615, Sophia, Johnson, 3.921558, 2001 11 12
20500, Sophia, Brown, 3.19007, 2003 1 7
98501, Ava, Walker, 2.239773, 2003 1 25
84668, Ava, Johnson, 3.238763, 2001 3 25
64948, Mason, Garcia, 2.408518, 2003 7 19
51180, Ava, Garcia, 2.791572, 2003 10 29
98039, Charlotte, Young, 2.632354, 2006 7 24
19508, Liam, Young, 3.242319, 2005 12 17
83792, Olivia, Brown, 3.075269, 1999 4 4
76307, Alexander, Anderson, 3.866519, 2003 10 29
19016, Ava, Clark, 2.569975, 2004 12 5
67433, Charlotte, Smith, 3.335726, 2006 6 30
82692, Charlotte, Taylor, 3.87786, 2005 2 7
